Username,Name,Location,Description,Website,Verified,Followers,Followings,Public member,Likes,Total tweets,Date created,Default theme,Default photo,Tweet's source,Tweet's geotagged,Tweet's retweets,Tweet's likes,Tweet's mentions,Tweet's hashtags,Tweet's link
gfernandoamb,Fernando Machuca PhD,Florida,"Ph.D. in computer sciences in France. I have the goal to enhance our world and reduce poverty. https://t.co/j85wyXENY9,  https://t.co/XFCdKQXUMW…",https://t.co/xAHcnjYXiP,FALSE,7743,8512,208,12142,75653,2016-12-31 18:38:08+00:00,FALSE,FALSE,Twitter Web App,,0,0,[],"[{'text': 'Covid', 'indices': [11, 17]}]","[{'url': 'https://t.co/2xCHUumLW8', 'expanded_url': 'https://fortune.com/2022/07/31/china-gen-z-millennials-unemployment-jobs-college-graduates-white-collar-education/', 'display_url': 'fortune.com/2022/07/31/chi…', 'indices': [172, 195]}, {'url': 'https://t.co/1DHnFUraL8', 'expanded_url': 'https://blog.geniouxfacts.com/2022/02/g-f2940-new-world-news-2142022.html', 'display_url': 'blog.geniouxfacts.com/2022/02/g-f294…', 'indices': [197, 220]}, {'url': 'https://t.co/DThOMIoBWJ', 'expanded_url': 'https://blog.geniouxfacts.com/2022/02/g-f2939-new-world-2142022-korn-ferry.html', 'display_url': 'blog.geniouxfacts.com/2022/02/g-f293…', 'indices': [221, 244]}, {'url': 'https://t.co/Lo2oFNVr69', 'expanded_url': 'https://blog.geniouxfacts.com/2022/02/g-f2938-new-world-2142022-korn-ferry.html', 'display_url': 'blog.geniouxfacts.com/2022/02/g-f293…', 'indices': [245, 268]}]"
phnewsmedia,Public Health,,https://t.co/Lz6MJX6tsS,,FALSE,1,0,0,0,191,2022-02-08 19:26:37+00:00,TRUE,FALSE,Hootsuite Inc.,,1,1,[],"[{'text': 'publichealth', 'indices': [152, 165]}, {'text': 'publichealthnews', 'indices': [166, 183]}, {'text': 'covid', 'indices': [184, 190]}, {'text': 'vaccine', 'indices': [191, 199]}, {'text': 'vax', 'indices': [200, 204]}, {'text': 'covid19', 'indices': [205, 213]}, {'text': 'death', 'indices': [214, 220]}, {'text': 'mortality', 'indices': [221, 231]}]","[{'url': 'https://t.co/uV1iOSPDgv', 'expanded_url': 'https://publichealth.news/news/updated_daily', 'display_url': 'publichealth.news/news/updated_d…', 'indices': [127, 150]}]"
phnewsmedia,Public Health,,https://t.co/Lz6MJX6tsS,,FALSE,1,0,0,0,191,2022-02-08 19:26:37+00:00,TRUE,FALSE,Hootsuite Inc.,,1,1,[],"[{'text': 'publichealth', 'indices': [134, 147]}, {'text': 'publichealthnews', 'indices': [148, 165]}, {'text': 'covid', 'indices': [166, 172]}, {'text': 'covid19', 'indices': [173, 181]}, {'text': 'vaccine', 'indices': [182, 190]}, {'text': 'vax', 'indices': [191, 195]}, {'text': 'medicine', 'indices': [196, 205]}, {'text': 'death', 'indices': [206, 212]}, {'text': 'mortality', 'indices': [213, 223]}, {'text': 'injury', 'indices': [224, 231]}]","[{'url': 'https://t.co/lmwid7g6pn', 'expanded_url': 'https://publichealth.news/news/must_read', 'display_url': 'publichealth.news/news/must_read', 'indices': [109, 132]}]"
BoomerGirl10,Elaine🇺🇸WeThePeople🇺🇸 HonorOur FoundingFathers,"Walnut Creek, CA",🗽🌹Happily retired Grandma 🦋❤️💃🏼Raised in SF 🌁in the 50’s & 60’s💃🏼❤️🤷🏼‍♀️Still a Republican 50+ yrs!🤷🏼‍♀️🇺🇸ProChoice✌️🫶🏻♋️Truth Only Please✌️❤️,,FALSE,193,651,0,2117,3365,2022-01-08 03:02:22+00:00,TRUE,FALSE,Twitter for iPad,,0,0,"[{'screen_name': 'benshapiro', 'name': 'Ben Shapiro', 'id': 17995040, 'id_str': '17995040', 'indices': [0, 11]}]","[{'text': 'COVID', 'indices': [144, 150]}, {'text': 'USA', 'indices': [241, 245]}, {'text': 'POTUS45', 'indices': [261, 269]}]",[]
phnewsmedia,Public Health,,https://t.co/Lz6MJX6tsS,,FALSE,1,0,0,0,191,2022-02-08 19:26:37+00:00,TRUE,FALSE,Hootsuite Inc.,,1,1,[],"[{'text': 'publichealth', 'indices': [116, 129]}, {'text': 'publichealthnews', 'indices': [130, 147]}, {'text': 'brownu', 'indices': [148, 155]}, {'text': 'bu', 'indices': [156, 159]}, {'text': 'brownuniversity', 'indices': [160, 176]}, {'text': 'covid', 'indices': [177, 183]}, {'text': 'vaccine', 'indices': [184, 192]}, {'text': 'vax', 'indices': [193, 197]}, {'text': 'covid19', 'indices': [198, 206]}, {'text': 'mandate', 'indices': [207, 215]}]","[{'url': 'https://t.co/pxWCjvOfT5', 'expanded_url': 'https://publichealth.news/news/top_stories', 'display_url': 'publichealth.news/news/top_stori…', 'indices': [91, 114]}]"
houston_job_bot,houston_jobs_bot,"Houston, TX","Your hourly source for jobs in Houston, TX!",,FALSE,24,0,0,0,17675,2020-07-28 21:20:23+00:00,TRUE,FALSE,houston_jobs_bot,,1,1,[],"[{'text': 'houston', 'indices': [115, 123]}, {'text': 'Houston', 'indices': [124, 132]}, {'text': 'recruiting', 'indices': [133, 144]}, {'text': 'employment', 'indices': [145, 156]}, {'text': 'covid', 'indices': [157, 163]}, {'text': 'jobopening', 'indices': [164, 175]}]","[{'url': 'https://t.co/mE0tiKVod7', 'expanded_url': 'https://www.jobs2careers.com/click.php?jid=538708d90ebdb4ef6d8fd4abe&ri=971b47c5377a47f8b4c0c952866e0a8b&job_loc=Houston%2CTX&q=&spl=lTf%2FBtHkPHU4%2Fd3M%3ANhzWD%2Fi6y7eQNe1RPbdZBw%3D%3D%3AQRcPz5SoCL0laFc7n2KU%2Bkx4Pm2RAahWFtSlwDwMPCeXuyPzS%2FEWg0lRwTUU8vMG9spDd3XdDEuTboyjnbbc1wOFGIS%2BWMiQ%2B772TZAz8wvayfxXYs%2BDuhJkHj2hRtv%2BtjWLVYvVtFgLPwHrKfQ%3D&encrypt=0&l=houston%2Ctx', 'display_url': 'jobs2careers.com/click.php?jid=…', 'indices': [90, 113]}]"
nhenews,National Health Executive,Manchester,"The latest news, insight and opinion from the Health Sector",https://t.co/aL0yWENClo,FALSE,14636,1874,211,1284,29713,2009-09-18 08:55:07+00:00,FALSE,FALSE,Twitter for Advertisers,,1,1,"[{'screen_name': 'DHSCgovuk', 'name': 'Department of Health and Social Care', 'id': 37963496, 'id_str': '37963496', 'indices': [200, 210]}]","[{'text': 'Covid19', 'indices': [3, 11]}, {'text': 'Omicron', 'indices': [211, 219]}, {'text': 'Covid', 'indices': [220, 226]}]",[]
Reuters,Reuters,Around the world,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",http://t.co/BmHxhkm3Mh,TRUE,25524507,1236,135488,749,900603,2007-03-20 17:46:05+00:00,FALSE,FALSE,Twitter Media Studio,,32,76,[],"[{'text': 'WHO', 'indices': [177, 181]}, {'text': 'monkeypox', 'indices': [182, 192]}, {'text': 'COVID', 'indices': [193, 199]}, {'text': 'Reuters', 'indices': [200, 208]}, {'text': 'Live', 'indices': [209, 214]}, {'text': 'News', 'indices': [215, 220]}]","[{'url': 'https://t.co/adPzpQ7V2B', 'expanded_url': 'https://twitter.com/i/broadcasts/1LyGBoXymWaJN', 'display_url': 'twitter.com/i/broadcasts/1…', 'indices': [221, 244]}]"
NewsMedical,News Medical,,The latest medical news from around the world,https://t.co/DRYuFg0WIJ,FALSE,15140,3740,485,550,70811,2009-05-11 07:25:11+00:00,TRUE,FALSE,News Medical,,1,2,"[{'screen_name': 'UofIllinois', 'name': 'University of Illinois', 'id': 18165866, 'id_str': '18165866', 'indices': [101, 113]}]","[{'text': 'COVID19', 'indices': [114, 122]}, {'text': 'coronavirus', 'indices': [123, 135]}, {'text': 'covid', 'indices': [136, 142]}, {'text': 'pandemic', 'indices': [143, 152]}]","[{'url': 'https://t.co/mxA3lSefVU', 'expanded_url': 'https://www.news-medical.net/news/20220825/Are-deaths-from-causes-other-than-COVID-19-returning-to-pre-pandemic-levels.aspx', 'display_url': 'news-medical.net/news/20220825/…', 'indices': [77, 100]}]"
RipDaJUULz,"Julia Zaja-Ciampaglia, PharmD","Not Chicago, IL","Sticks & Stones may break my bones but words typed into the most useless tool of communication in human history insult the typer of them, & can never hurt me ☺️",,FALSE,374,333,3,14371,8376,2021-12-10 11:18:08+00:00,TRUE,FALSE,Twitter Web App,,0,1,"[{'screen_name': 'JudgeStone_', 'name': 'Judge Stone', 'id': 1519132277384441856, 'id_str': '1519132277384441856', 'indices': [0, 12]}, {'screen_name': 'Cernovich', 'name': 'Cernovich', 'id': 358545917, 'id_str': '358545917', 'indices': [13, 23]}, {'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [88, 95]}]","[{'text': 'COVID', 'indices': [65, 71]}, {'text': 'BigPharma', 'indices': [173, 183]}]",[]
DoffouRadio,Doffou Radio Bordeaux,Bordeaux ,"Web radio basée à Bordeaux, ouverte à tous les musiciens qui souhaitent promouvoir leurs projets musicaux.
Il suffit de nous contacter.",https://t.co/ax0CazWVcH,FALSE,121,234,0,1668,10226,2021-05-06 12:58:43+00:00,TRUE,FALSE,Radio King LiveTweet,,1,1,[],"[{'text': 'NowPlaying', 'indices': [0, 11]}, {'text': 'radioking', 'indices': [76, 86]}, {'text': 'bokaomw', 'indices': [87, 95]}, {'text': 'doffouradio', 'indices': [96, 108]}, {'text': 'bordeaux', 'indices': [109, 118]}, {'text': 'france', 'indices': [119, 126]}, {'text': 'paris', 'indices': [127, 133]}, {'text': 'covid', 'indices': [134, 140]}, {'text': 'musique', 'indices': [141, 149]}, {'text': 'webradio', 'indices': [150, 159]}, {'text': 'submityoursong', 'indices': [160, 175]}, {'text': 'sendyoursong', 'indices': [176, 189]}, {'text': 'peace', 'indices': [190, 196]}, {'text': 'love', 'indices': [197, 202]}, {'text': 'unity', 'indices': [203, 209]}, {'text': 'mixité', 'indices': [210, 217]}, {'text': 'vivreensemble', 'indices': [218, 232]}, {'text': 'deuxièmetour', 'indices': [233, 246]}]","[{'url': 'https://t.co/duzmpODwHG', 'expanded_url': 'https://fr.radioking.com/radio/doffou-radio', 'display_url': 'fr.radioking.com/radio/doffou-r…', 'indices': [248, 271]}]"
socialnowpr,Social Now PR,USA,Get the word out now.,https://t.co/xFyNt1Pyq6,FALSE,863,104,2,0,8475,2020-09-16 20:45:17+00:00,TRUE,FALSE,Sprout Social,,2,3,[],"[{'text': 'healthcare', 'indices': [92, 103]}, {'text': 'covid', 'indices': [104, 110]}, {'text': 'crypto', 'indices': [122, 129]}, {'text': 'blockchain', 'indices': [130, 141]}, {'text': 'wsj', 'indices': [142, 146]}, {'text': 'nytimes', 'indices': [147, 155]}, {'text': 'business', 'indices': [156, 165]}, {'text': 'reuters', 'indices': [166, 174]}, {'text': 'IHub_StockPosts', 'indices': [175, 191]}, {'text': 'forbes', 'indices': [192, 199]}, {'text': 'marketwatch', 'indices': [200, 212]}, {'text': 'cnn', 'indices': [213, 217]}, {'text': 'bet', 'indices': [218, 222]}, {'text': 'foxnews', 'indices': [223, 231]}, {'text': 'latimes', 'indices': [232, 240]}, {'text': 'NASDAQ', 'indices': [241, 248]}, {'text': 'fintec', 'indices': [249, 256]}, {'text': 'medical', 'indices': [257, 265]}, {'text': 'apple', 'indices': [266, 272]}, {'text': 'Tesla', 'indices': [273, 279]}]","[{'url': 'https://t.co/rAPHxj83pv', 'expanded_url': 'https://cutt.ly/UXssBqt', 'display_url': 'cutt.ly/UXssBqt', 'indices': [68, 91]}]"
Lornarose004,Lorna,,,,FALSE,8,24,0,1032,764,2022-01-09 11:48:24+00:00,TRUE,FALSE,Twitter for iPhone,,0,1,"[{'screen_name': 'WHO', 'name': 'World Health Organization (WHO)', 'id': 14499829, 'id_str': '14499829', 'indices': [0, 4]}, {'screen_name': 'DrTedros', 'name': 'Tedros Adhanom Ghebreyesus', 'id': 189868631, 'id_str': '189868631', 'indices': [5, 14]}]","[{'text': 'monkeypox', 'indices': [167, 177]}, {'text': 'covid', 'indices': [182, 188]}]","[{'url': 'https://t.co/po8nYgCX8Y', 'expanded_url': 'https://chng.it/7MXrLN9djv', 'display_url': 'chng.it/7MXrLN9djv', 'indices': [269, 292]}]"
IndyScott9,Indy Scott,,Straight talking,,FALSE,496,4982,0,29052,26076,2021-03-08 16:36:34+00:00,TRUE,FALSE,Twitter for Android,,1,1,"[{'screen_name': 'Yahoo', 'name': 'Yahoo', 'id': 19380829, 'id_str': '19380829', 'indices': [127, 133]}]","[{'text': 'Parents', 'indices': [0, 8]}, {'text': 'boy', 'indices': [12, 16]}, {'text': 'died', 'indices': [21, 26]}, {'text': 'Covid', 'indices': [32, 38]}, {'text': 'inquest', 'indices': [90, 98]}]","[{'url': 'https://t.co/eaL7NMWQZn', 'expanded_url': 'https://uk.news.yahoo.com/parents-boy-died-covid-likely-192401262.html?soc_src=community&soc_trk=tw', 'display_url': 'uk.news.yahoo.com/parents-boy-di…', 'indices': [99, 122]}]"
kissmykitty,🖤 𝓙𝓮𝓷𝓷 🖤,USA,"38 year old she/her married (@TerminusEst), babied (@Zyachim & @MisterBeanJeans), chronic pain fighter, college-attending crazy rescue & foster cat lady chick.",https://t.co/yZgCdAElWb,FALSE,6082,135,205,2498,77236,2007-01-18 23:35:47+00:00,FALSE,FALSE,Twitter Web App,,1,1,[],"[{'text': 'COVID', 'indices': [136, 142]}, {'text': 'COVID19', 'indices': [143, 151]}, {'text': 'Coronavirus', 'indices': [152, 164]}, {'text': 'COVIDpositive', 'indices': [165, 179]}, {'text': 'COVID19positive', 'indices': [180, 196]}, {'text': 'Coronaviruspositive', 'indices': [197, 217]}]",[]
Impactstories2,Positive Impact,,Positive Impact is an online platform where we bring to you stories of individuals who can inspire and create positive vibes around the world.,https://t.co/FEbtHDsDK1,FALSE,53,0,0,1,31,2022-07-14 10:13:16+00:00,TRUE,FALSE,Twitter Web App,,1,2,[],"[{'text': 'greatthings', 'indices': [110, 122]}, {'text': 'motivation', 'indices': [123, 134]}, {'text': 'follow', 'indices': [135, 142]}, {'text': 'like', 'indices': [143, 148]}, {'text': 'love', 'indices': [149, 154]}, {'text': 'goodvibes', 'indices': [155, 165]}, {'text': 'instagood', 'indices': [166, 176]}, {'text': 'success', 'indices': [177, 185]}, {'text': 'goodcredit', 'indices': [186, 197]}, {'text': 'inspiration', 'indices': [198, 210]}, {'text': 'photooftheday', 'indices': [211, 225]}, {'text': 'quotes', 'indices': [226, 233]}, {'text': 'covid', 'indices': [234, 240]}, {'text': 'inspirationalquotes', 'indices': [241, 261]}, {'text': 'mindset', 'indices': [262, 270]}]","[{'url': 'https://t.co/GCtEZqERey', 'expanded_url': 'http://www.positiveimpactstories.com', 'display_url': 'positiveimpactstories.com', 'indices': [85, 108]}]"
kissmykitty,🖤 𝓙𝓮𝓷𝓷 🖤,USA,"38 year old she/her married (@TerminusEst), babied (@Zyachim & @MisterBeanJeans), chronic pain fighter, college-attending crazy rescue & foster cat lady chick.",https://t.co/yZgCdAElWb,FALSE,6082,135,205,2498,77236,2007-01-18 23:35:47+00:00,FALSE,FALSE,Twitter Web App,,1,1,"[{'screen_name': 'TerminusEst', 'name': 'TerminusEst', 'id': 2170006043, 'id_str': '2170006043', 'indices': [0, 12]}]","[{'text': 'COVID', 'indices': [156, 162]}, {'text': 'COVID19', 'indices': [163, 171]}, {'text': 'Coronavirus', 'indices': [172, 184]}, {'text': 'COVIDpositive', 'indices': [185, 199]}, {'text': 'COVID19positive', 'indices': [200, 216]}, {'text': 'Coronaviruspositive', 'indices': [217, 237]}]",[]
RiskCap,RiskLiberty,onur6,S&P 500 #ES_F #NQ_F $EURUSD  & all about America with no market bias.,,FALSE,1181,82,58,5724,28011,2009-05-26 01:24:57+00:00,FALSE,FALSE,Twitter for Android,,0,0,[],"[{'text': 'covid', 'indices': [0, 6]}]","[{'url': 'https://t.co/Og2ZOwk384', 'expanded_url': 'https://twitter.com/Timcast/status/1562787873392185344', 'display_url': 'twitter.com/Timcast/status…', 'indices': [20, 43]}]"
natgas_ngsa,Nat Gas Supply Assoc,"Washington, D.C.",Producers & suppliers of U.S. natural gas,http://t.co/5WHrkmhHmx,FALSE,2500,393,62,623,4722,2014-03-28 15:29:17+00:00,TRUE,FALSE,Twitter Web App,,1,4,"[{'screen_name': 'EIAgov', 'name': 'EIA', 'id': 57111966, 'id_str': '57111966', 'indices': [193, 200]}, {'screen_name': 'SPGlobalPlatts', 'name': 'SPGlobalPlatts', 'id': 1493580318393122816, 'id_str': '1493580318393122816', 'indices': [205, 220]}]","[{'text': 'COVID', 'indices': [26, 32]}, {'text': 'natgas', 'indices': [146, 153]}]","[{'url': 'https://t.co/5XUVPhW7cR', 'expanded_url': 'https://ngsa.org', 'display_url': 'ngsa.org', 'indices': [246, 269]}]"
DeeEternalOpt,Dee,Bharat,You are the sky. Everything else is just the weather,,FALSE,1090,629,6,24249,24326,2012-11-11 14:58:43+00:00,TRUE,FALSE,Twitter for iPhone,,0,2,[],"[{'text': 'covid', 'indices': [102, 108]}]","[{'url': 'https://t.co/M1WbuF702u', 'expanded_url': 'https://twitter.com/srbachchan/status/1562136557506613249', 'display_url': 'twitter.com/srbachchan/sta…', 'indices': [121, 144]}]"
CaptDrimmie,Oddball 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧,Shropshire,Why don’t you knock it off with them negative waves? Why don’t you dig how beautiful it is out here? Why don’t you say something righteous and hopeful?,https://t.co/00eVNVjCET,FALSE,3615,5000,11,73121,17492,2017-06-07 17:00:18+00:00,TRUE,FALSE,Twitter for iPad,,4,28,[],"[{'text': 'Covid', 'indices': [0, 6]}, {'text': 'ClimateCrisis', 'indices': [30, 44]}]",[]
sunshinesmasks,sunshines masks,florida ,handmade face masks- pleated masks  - fitted masks $$$$ plus shipping  S&H. includes a tracking number ... order your next facemask today,https://t.co/bV98OcfALu,FALSE,135,665,1,37,4827,2020-07-26 03:39:06+00:00,TRUE,FALSE,Hootsuite Inc.,,1,2,[],"[{'text': 'inside', 'indices': [31, 38]}, {'text': 'love', 'indices': [39, 44]}, {'text': 'outside', 'indices': [45, 53]}, {'text': 'art', 'indices': [54, 58]}, {'text': 'life', 'indices': [59, 64]}, {'text': 'photography', 'indices': [65, 77]}, {'text': 'instagram', 'indices': [78, 88]}, {'text': 'follow', 'indices': [89, 96]}, {'text': 'instagood', 'indices': [97, 107]}, {'text': 'music', 'indices': [108, 114]}, {'text': 'nature', 'indices': [115, 122]}, {'text': 'beautiful', 'indices': [123, 133]}, {'text': 'happy', 'indices': [134, 140]}, {'text': 'home', 'indices': [141, 146]}, {'text': 'like', 'indices': [147, 152]}, {'text': 'me', 'indices': [153, 156]}, {'text': 'you', 'indices': [157, 161]}, {'text': 'yourself', 'indices': [162, 171]}, {'text': 'design', 'indices': [172, 179]}, {'text': 'photooftheday', 'indices': [180, 194]}, {'text': 'beauty', 'indices': [195, 202]}, {'text': 'architecture', 'indices': [203, 216]}, {'text': 'photo', 'indices': [217, 223]}, {'text': 'facemask', 'indices': [224, 233]}, {'text': 'covid', 'indices': [234, 240]}]",[]
gfernandoamb,Fernando Machuca PhD,Florida,"Ph.D. in computer sciences in France. I have the goal to enhance our world and reduce poverty. https://t.co/j85wyXENY9,  https://t.co/XFCdKQXUMW…",https://t.co/xAHcnjYXiP,FALSE,7743,8512,208,12142,75653,2016-12-31 18:38:08+00:00,FALSE,FALSE,Twitter Web App,,0,0,[],"[{'text': 'Leaders', 'indices': [0, 8]}, {'text': 'AI', 'indices': [9, 12]}, {'text': 'Covid', 'indices': [193, 199]}]","[{'url': 'https://t.co/SD2vROariP', 'expanded_url': 'https://fortune.com/2022/08/01/china-economy-xi-jinping-third-term-covid-zero-property-crisis-banks/', 'display_url': 'fortune.com/2022/08/01/chi…', 'indices': [248, 271]}]"
TravellingSigns,Travelling_signs,,,,FALSE,23,176,0,172,35,2022-08-24 12:56:56+00:00,TRUE,FALSE,Twitter for iPhone,,1,4,[],"[{'text': 'StoptheShots', 'indices': [218, 231]}, {'text': 'NoVaccineMandates', 'indices': [232, 250]}, {'text': 'unvaccinated', 'indices': [251, 264]}, {'text': 'WEFpuppet', 'indices': [265, 275]}, {'text': 'covid', 'indices': [276, 282]}, {'text': 'nft', 'indices': [283, 287]}]",[]
Kramed67037,kramed67037,,"Dad of three, husband of one, pet owner of two. I'm a baseball fan, a weather geek and someone who enjoys facts instead of feelings.",,FALSE,324,544,12,12466,30338,2010-02-27 00:56:09+00:00,TRUE,FALSE,Twitter Web App,,0,0,[],"[{'text': 'COVID', 'indices': [133, 139]}]","[{'url': 'https://t.co/WlqmoacZPv', 'expanded_url': 'https://twitter.com/SharylAttkisson/status/1562791517831323648', 'display_url': 'twitter.com/SharylAttkisso…', 'indices': [151, 174]}]"
BoomerGirl10,Elaine🇺🇸WeThePeople🇺🇸 HonorOur FoundingFathers,"Walnut Creek, CA",🗽🌹Happily retired Grandma 🦋❤️💃🏼Raised in SF 🌁in the 50’s & 60’s💃🏼❤️🤷🏼‍♀️Still a Republican 50+ yrs!🤷🏼‍♀️🇺🇸ProChoice✌️🫶🏻♋️Truth Only Please✌️❤️,,FALSE,193,651,0,2117,3365,2022-01-08 03:02:22+00:00,TRUE,FALSE,Twitter for iPad,,0,0,"[{'screen_name': 'SenateGOP', 'name': 'Senate Republicans', 'id': 14344823, 'id_str': '14344823', 'indices': [0, 10]}, {'screen_name': 'GOP', 'name': 'GOP', 'id': 11134252, 'id_str': '11134252', 'indices': [285, 289]}]","[{'text': 'Inflation', 'indices': [47, 57]}, {'text': 'COVID', 'indices': [75, 81]}, {'text': 'LowIncome', 'indices': [100, 110]}, {'text': 'Biden', 'indices': [166, 172]}]",[]
integralheroph,integralheroph,"Mandaluyong City, National Cap","The Spider-Verse and multihero of Manila!
Your resident Traveling Spidey!",,FALSE,24,55,0,74,1021,2019-04-15 21:34:35+00:00,TRUE,FALSE,Twitter for iPhone,,2,1,"[{'screen_name': 'Starbucks', 'name': 'Starbucks Coffee', 'id': 30973, 'id_str': '30973', 'indices': [73, 83]}]","[{'text': 'Spidey', 'indices': [144, 151]}, {'text': 'SpiderMan', 'indices': [152, 162]}, {'text': 'PeterParker', 'indices': [163, 175]}, {'text': 'Marvel', 'indices': [176, 183]}, {'text': 'Avengers', 'indices': [184, 193]}, {'text': 'superhero', 'indices': [194, 204]}, {'text': 'cosplay', 'indices': [205, 213]}, {'text': 'Covid_19', 'indices': [214, 223]}, {'text': 'COVID', 'indices': [224, 230]}, {'text': 'COVID19', 'indices': [231, 239]}, {'text': 'COVID__19', 'indices': [240, 250]}, {'text': 'coronavirus', 'indices': [251, 263]}, {'text': 'pandemia', 'indices': [264, 273]}]",[]
GoodeWriter,Justiss Goode,"Los Angeles, Ca.","Self published author, prolific Medium writer, with 700+ published stories, in multiple categories. Editor of Daily Justiss publication and Exposure Newsletter.",https://t.co/zfRXquwqAB,FALSE,473,437,8,7,44331,2021-05-11 08:05:19+00:00,TRUE,FALSE,Penname,,1,2,"[{'screen_name': 'pensignal', 'name': 'Signal', 'id': 1126612872866324481, 'id_str': '1126612872866324481', 'indices': [114, 124]}]","[{'text': 'teenager', 'indices': [180, 189]}, {'text': 'covid', 'indices': [251, 257]}, {'text': 'vaccine', 'indices': [258, 266]}]","[{'url': 'https://t.co/G6jw29EdVM', 'expanded_url': 'https://www.lnk.xyz/Sk7_W8Asu?aduc=w9Bga2J1661433694496', 'display_url': 'lnk.xyz/Sk7_W8Asu?aduc…', 'indices': [142, 165]}]"
worcfrom,worcfrom,,daily life - its challenges and overcoming them,,FALSE,44,196,1,612,335,2021-08-08 17:14:22+00:00,TRUE,FALSE,Twitter for iPad,,0,1,"[{'screen_name': 'nytimes', 'name': 'The New York Times', 'id': 807095, 'id_str': '807095', 'indices': [0, 8]}, {'screen_name': 'onepeloton', 'name': 'Peloton', 'id': 771833052, 'id_str': '771833052', 'indices': [9, 20]}]","[{'text': 'peloton', 'indices': [126, 134]}, {'text': 'covid', 'indices': [140, 146]}, {'text': 'nokia', 'indices': [221, 227]}, {'text': 'blackberry', 'indices': [228, 239]}, {'text': 'twitter', 'indices': [240, 248]}, {'text': 'lazy', 'indices': [259, 264]}]",[]
integralheroph,integralheroph,"Mandaluyong City, National Cap","The Spider-Verse and multihero of Manila!
Your resident Traveling Spidey!",,FALSE,24,55,0,74,1021,2019-04-15 21:34:35+00:00,TRUE,FALSE,Twitter for iPhone,,1,1,"[{'screen_name': '101_flavors', 'name': 'Carousel Creamery', 'id': 3151249176, 'id_str': '3151249176', 'indices': [94, 106]}]","[{'text': 'Spidey', 'indices': [146, 153]}, {'text': 'SpiderMan', 'indices': [154, 164]}, {'text': 'PeterParker', 'indices': [165, 177]}, {'text': 'Marvel', 'indices': [178, 185]}, {'text': 'Avengers', 'indices': [186, 195]}, {'text': 'superhero', 'indices': [196, 206]}, {'text': 'cosplay', 'indices': [207, 215]}, {'text': 'Covid_19', 'indices': [216, 225]}, {'text': 'COVID', 'indices': [226, 232]}, {'text': 'COVID19', 'indices': [233, 241]}, {'text': 'COVID__19', 'indices': [242, 252]}, {'text': 'coronavirus', 'indices': [253, 265]}, {'text': 'pandemia', 'indices': [266, 275]}]",[]
bunkybun,Bunkunin,,"""A left ear for news"" 
Having medical problems that may go on for quite some time; apologies for being less clear, etc.
Lifelong socialist!",,FALSE,5184,5207,23,48544,108197,2016-12-04 21:48:28+00:00,TRUE,FALSE,Twitter Web App,,3,3,"[{'screen_name': 'mariecountryman', 'name': 'marie countryman🖖 #anarchy in the usa', 'id': 212717146, 'id_str': '212717146', 'indices': [135, 151]}, {'screen_name': 'DrJillStein', 'name': 'Dr. Jill Stein🌻', 'id': 111216929, 'id_str': '111216929', 'indices': [152, 164]}, {'screen_name': 'RedBeretsM4All', 'name': 'Red Berets #Sign1471', 'id': 945012234215755776, 'id_str': '945012234215755776', 'indices': [165, 180]}, {'screen_name': 'ifoundtheme', 'name': 'Kelsey Breseman 🍎 // mastodon:@kel@toot.cafe', 'id': 2436932576, 'id_str': '2436932576', 'indices': [181, 193]}, {'screen_name': '50linesonly', 'name': 'AREYOUBEINGSERVED #RedBerets🧶🎥', 'id': 90917796, 'id_str': '90917796', 'indices': [194, 206]}, {'screen_name': 'NeoProgressive1', 'name': 'Henry Clay', 'id': 2247762848, 'id_str': '2247762848', 'indices': [207, 223]}, {'screen_name': 'JefferyDenton7', 'name': 'Jeffery Denton', 'id': 1555643834226200576, 'id_str': '1555643834226200576', 'indices': [224, 239]}, {'screen_name': 'CaptainStack', 'name': 'Andre Stackhouse 🍎 #YesOn1471', 'id': 20297345, 'id_str': '20297345', 'indices': [240, 253]}, {'screen_name': 'DUH4Healthcare', 'name': 'Duh Health', 'id': 959227039, 'id_str': '959227039', 'indices': [254, 269]}, {'screen_name': 'VoteNoGMO', 'name': 'Fran⚕️SylviasDaughter#RedBerets 🍎⚕️#GeneralStrike', 'id': 2584186404, 'id_str': '2584186404', 'indices': [270, 280]}]","[{'text': 'Covid', 'indices': [25, 31]}]","[{'url': 'https://t.co/lJ7p9fnTh0', 'expanded_url': 'https://www.nakedcapitalism.com/2022/08/yet-more-medically-bogus-covid-vaccine-profiteering-requiring-primary-covid-shots-to-get-omicron-booster.html', 'display_url': 'nakedcapitalism.com/2022/08/yet-mo…', 'indices': [111, 134]}]"
